#{"t_start": 1563907828.7900326, "env_id": "gymXplane-v2"}
r,l,t
1629.2216,541,19000.845701
2408.265437,846,19096.402642
59.33613,110,19108.694823
-12.734772,8,19109.598461
71.625743,119,19123.053396
60.291845,115,19135.984726
734.412048,316,19171.640813
1745.962291,748,19256.190465
3303.116925,1290,19401.879976
2406.345512,859,19498.67412
851.126711,66,19506.106079
54.671167,99,19517.363233
-21.59839,3,19517.705244
792.066202,331,19554.941214
-23.97085,1,19555.051872
1048.737239,370,19596.82223
-23.5982,1,19596.930107
-23.890316,1,19597.041785
1172.040894,489,19652.312113
-17.9868,3,19652.659233
1631.119982,564,19716.039641
3125.606856,1079,19837.615961
-22.475429,1,19837.730719
3122.980386,845,19932.662959
39.952306,93,19943.188408
3100.017202,1193,20077.589855
-22.25818,1,20077.71075
2958.022634,979,20188.089762
1575.69821,636,20259.750933
1453.044645,449,20310.334666
1466.828558,540,20371.388673
15.114576,83,20380.928852
1462.387873,575,20445.43915
4462.96978,1691,20636.378713
-23.600385,1,20636.486849
-20.288526,3,20636.831417
4433.28494,1717,20830.54102
4364.016067,1720,21024.987674
1505.269358,546,21086.337805
13354.174296,4984,21648.311547
25.108153,89,21658.446156
1467.119199,453,21709.388072
4658.826516,1729,21904.332981
3093.324131,1182,22037.93894
28.567552,87,22047.753412
83.168901,109,22060.064719
9631.298389,3256,22427.670459
1699.825956,646,22500.880338
1477.075013,435,22550.071836
7992.816851,2803,22867.009695
1681.665456,540,22928.091057
724.915838,323,22964.593658
2602.244805,1025,23080.063107
5639.33155,2019,23308.003905
1638.500941,540,23369.194781
15807.133675,5155,23952.002521
4235.800813,1443,24114.605347
1597.236663,393,24158.772591
1700.583445,542,24219.983939
3659.78099,1504,24389.735965
6983.2334,2314,24650.960534
2093.415932,883,24750.866805
4430.024538,1690,24941.651439
1316.441588,471,24994.895757
6835.492877,2170,25240.085189
3450.126956,1271,25383.699745
5074.77923,1622,25567.220388
6016.44833,1958,25788.957543
3374.170623,961,25897.443774
7779.460851,2585,26189.800565
8267.093822,2620,26485.809205
6732.618981,2286,26744.088737
1511.793982,424,26791.849346
1642.591708,544,26853.103535
3385.205774,1081,26975.392929
1678.12152,541,27036.475608
7891.748749,2643,27334.94638
9827.035844,3292,27707.655806
3186.59461,982,27818.599938
3349.966607,1190,27952.755194
1678.66384,649,28025.966166
-21.200231,3,28026.292552
4921.044744,1624,28210.198108
761.97799,232,28236.210221
3403.425552,1260,28378.539689
13334.93023,4342,28869.512466
3275.849485,1079,28991.326771
8268.465626,2813,29309.256037
1548.363221,437,29358.562241
6267.657637,2170,29603.41504
5097.818671,1726,29798.253215
1709.169584,648,29871.26836
14772.978003,4995,30435.441332
1511.052018,520,30493.872087
10968.504801,3703,30911.960945
3442.113786,1198,31047.707244
-23.002022,1,31047.826615
4819.016111,1501,31217.93546
1782.965938,661,31292.632021
-20.333664,3,31292.969921
-23.406431,1,31293.086411
3165.918396,960,31401.596848
3343.915663,1085,31523.971243
118.452335,127,31538.285266
8359.819155,2696,31843.266079
1491.648277,422,31891.43137
4078.831108,1398,32050.205447
316.65997,154,32067.622239
5194.55979,1764,32267.694798
1658.278461,555,32330.379554
-22.495396,1,32330.483019
-20.328162,3,32330.819854
4879.699589,1597,32511.676366
1359.117525,431,32560.353594
1148.173272,655,32634.238618
7002.834018,2556,32923.423187
1811.159092,653,32997.248627
1667.593265,541,33058.598454
6578.246559,2054,33290.860646
7347.080763,2523,33575.88935
55.76959,101,33587.337714
1595.402355,542,33648.534375
41.894995,94,33659.141821
-20.951679,3,33659.504603
1504.519146,443,33709.735897
21.678972,85,33719.34735
34.530767,94,33729.89141
40.548756,96,33740.777249
86.51522,181,33761.235015
22.542534,88,33771.194103
137.699217,208,33794.544418
-23.825528,3,33794.87721
3373.347729,1179,33928.238574
5033.852661,1740,34124.914888
1532.102841,424,34172.666328
78.447493,104,34184.363961
782.3336,327,34221.346326
5093.311328,1734,34417.198718
49.799216,102,34428.576387
-17.999797,4,34429.026037
1533.882095,435,34478.262392
3353.9798,1182,34612.008344
15129.902943,4872,35162.776996
11822.461005,3784,35590.946157
836.335041,333,35628.463353
1682.231342,543,35689.665134
108.427419,117,35702.896593
4815.535039,1366,35857.089587
3501.659905,1201,35992.470012
4740.189727,1541,36166.250467
851.882859,329,36203.547683
5878.65029,1801,36407.311524
38.530624,92,36417.59498
1918.370951,626,36488.286531
2566.940595,987,36599.889132
1998.981725,463,36652.119162
2577.339791,872,36750.714042
7163.241381,2094,36987.414973
