#{"t_start": 1564001091.7144423, "env_id": "gymXplane-v2"}
r,l,t
298.072547,350,41.123646
-74.152356,118,54.490592-307.117447,204,71.274801897.369981,1277,159.71484
-154.535997,383,203.4425251338.500943,1375,272.748747
-119.485833,69,280.547794
799.944559,651,354.161204
933.524573,603,422.374097
-231.234437,146,438.922936
1539.577096,314,474.339647
-115.139154,73,482.608541
-146.276085,192,504.437031
521.100935,376,547.097132
394.961189,220,571.872576
1434.645148,400,616.941964
-141.574038,74,625.298996
2.209651,637,697.315915
-123.68038,72,705.482335
-311.920603,205,728.731722
-117.505917,81,737.772591
-194.871721,140,753.785917
-106.505706,87,763.778415
-114.322217,69,771.54335
-196.282938,174,791.290916
-100.737657,2464.305525,814,842.590317
1326.735375,1167,974.330626
-209.214011,136,989.607588
-24.967276,9,990.616329
-24.405305,1,990.765248
-25.651182,1,990.880341
-180.974403,179,1011.225202
364.566199,206,1034.718925
143.441242,191,1056.197746
-24.27886,1,1056.334804
365.843039,206,1079.75416
-96.161509,87,1089.724078
-24.478973,1,1089.835037
-415.115576,267,1120.003372
-109.470329,76,1128.690549
-22.353594,8,1129.574665
-81.356243,102,1141.098058
513.931827,369,1182.799415
-24.248156,31129.419089,102654.26608,1906,1507.04215,11864.227303,687,1476.853698
-23.981018,1,1476.957015
-23.740922,3,11751.704661,1552,1600.069094
-220.27457,130,1614.656472
-27.798786420.218509,450,1-105.557126,89,1624.954782
-206.281022,154,1642.299483
-25.742603,3,1642.626352
-322.48332,209,1666.253771
-27.568989,3,1666.603864
-124.31223,74,1674.963477
-130.579356,70,1682.911504
-214.194785,133,1697.968092
-32.633231,14,1699.581683
-16.099989,18,1701.589309
454.213579,457,1753.078147
-132.456565,76,1761.64897
1376.934282,1001,1808.005788821551.616204,363,1849.054392
392.935879,423,1896.7466
-204.90679,144,1913.019241
-21.290047,6,1913.7286338.604625,300,1924.540234
-23.-72.096984,109,1934.308103
318.235168,299,1967.828526
-108.222555,83,1977.327669
-23.216575,4,197142.804489,420,2007.831241
-115.8311045.926307,746,2062170.97264-88.213479,104,2074.022664
3416.116793,2415,2347.673257
519.759636,369,2389.695589
412.982599,226,2415.405627
178.703094,462,2467.971787
-196.465364,143,2484.182513
-290.006742,213,2508.381316
-186.271564,150,2525.258389
-143.982228,186,2546.493105
4126.941274,3498,2943.166889
1295.737795,859,3040.763848
473.681766,265,3070.821028
-73.23165,107,3083.049173
356.704489,324,3119.766697
-80.610797,110,3132.030468
405.994282,219,3156.880852
1016.055112,581,3222.665962
4759.677336,2931,3555.755251
1679.427635,1208,3692.772122
251.758279,426,3741.541158
5827.653084,3827,4176.27523
351.754593,325,4213.223804
1068.325372,58,4219.841224
-75.509062,108,4232.256959
