#{"t_start": 1563830178.464896, "env_id": "gymXplane-v2"}
r,l,t
34127.251244,1501,170.21996425482.351213,1525,341.653095
326.055095,119,355.002981
-21.843046,1,355.113124.867.473984,431,3823082.836.237688,479,412.342432
3749.507079,1230,551.293327
2831.372061,1011,570.218361
4977.588663,1501,738.983978
981.307678,285,771.047624
780.55343,295,804.3431257.4013.58224,1501,973.891192
2419.940606,879,1073.3297
4384.772013,1501,1242.689679
985.370984,287,1275.203114
2773.981023,1252,1416.581348
-22.09974,3,1416.90876
-19.751036,3,1417.259304
4470.783295,1501,1586.567461
4719.273424,1501,1756.060624
5297.608696,1501,1925.292753
221.395379,69,1932.981901
20.883968,74,1941.265093
4036.970169,1501,2110.370435
4580.229867,1501,2279.342525
4581.920224,1501,2448.466197
4639.656859,1501,2617.867993
5128.901914,1501,2787.426767
2501.48951,789,2876.670037
525.722535,339,2915.065088
934.43546,466,2967.850219
4518.605661,1501,3137.351514
1333.36074,384,3181.000587
4845.536934,1501,3350.212143
4085.517425,1501,3520.213776
5218.237025,1501,3689.626393
439.482914,136,3704.961896
1284.989147,596,3772.202273
2155.467773,1112,3898.332058
19.836851,72,3906.501035
-22.732805,3,3906.855855
-24.003526,1,3906.97166
-24.529704,2,3907.193088
3737.057787,1501,4076.962607
4854.051325,1387,4233.733705
1022.358438,616,4303.847735
-23.158445,3,434836.0616651414.418843,660,4373874.477061,1501,4477.505969
4883.510247,1489,4646.328618
1422.865255,941,4752.402506
-24.5233.166662,1501,4787.1580.5242834.465753,860,4884.4545.366687,1501,5003.614342
5243.877792,1501,5173.754472
2034.925527,809,5265.152135
4513.495788,1501,5435.232232
5226.280811,1501,5604.865793
3176.185801,1501,5774.717444
1458.738594,678,5851.664108
1038.786343,533,5911.702893
13.856488,72,5919.836791
4910.802066,1501,6080.631205
4899.816044,1501,6250.435467
5222.511279,1501,6420.530543
664.945928,257,6449.5188
3459.408896,1501,6619.519917
4794.618384,1501,6789.085742
1401.677674,724,6870.700176
4541.305071,1501,7040.026011
4693.260494,1501,7209.787308
4754.384427,1399,7367.393941
1888.283499,927,7471.384302
15.339033,64,7478.599619
1610.818104,925,7582.355047
88.985981,117,7595.503917
203.886992,216,7619.707744
4628.733723,1501,7788.6243
5252.053692,1501,7957.404458
2806.367518,796,8047.167069
2521.005863,783,8135.561309
2736.81329,1501,8304.782037
587.778709,356,8345.056536
63.351746,102,8356.560248
746.330293,328,8393.345524
18.957949,66,8400.822635
2219.859275,988,8512.604232
46.736915,95,8523.265858
56.222935,97,8534.296829
62.94949,12946.390513,1440,8670.468795
64.103689,102,8682.049499
-23.406206,4,2888.027743,1501,8739.898438
1471.521762,817,8832.14121
843.091272,447,8882.558177
1559.750675,831,8976.705464
2754.109181,1501,9145.99173
2309.875237,995,9258.22868
-24.298991,1,9258.352492
-24.436412,2,9258.578845
1627.152579,954,9366.209419
916.00026,637,9437.82339
814.830634,512,9495.641198
-24.486681,1,9495.75994611440.579845,819,9588.066546
-23.17339,1,9588.177299
-22604.285604,1501,9747.998401
800.390314,382,9791.32918.595976,1501,9896.542586
2516.553007,1501,10065.656758
1483.3221,569,10129.912087
4203.971938,1501,10299.166433
483.300966,234,10325.81453
-23.275097,3,10326.14426
4600.959935,1501,10495.676126
132867.350799,1501,10595.335155284338.492809,1501,10765.165725284426.102006,1501,10934.597273061507.209467,796,11024.732196562301.543766,1474,11191.4734659.649.51257,452,11242.615828142866.262559,1501,11412.392437
5170.727125,1501,11581.989944
4685.115594,1501,11751.895517
5260.99284,1501,11922.2963
1884.424091,600,11990.150964
2742.00812,1501,12159.896549
5179.09116,1501,12329.380732
3151.803692,969,12439.234037
-24.332407,3,12439.577244
7654911.54792,1501,12524.3964380.4110.968732,1255,12666.4025269.293945,1501,12818.827544
4820.133064,1501,12989.858917
2949.428262,910,13092.719881
-21.62598.427064,804,13183.262212
72.893397,104,13195.017468
-24.480386,1,13195.2765.69197,1501,13309.356321
728.3761.370601,1501,13375.194167
4761.820237,1360,13529.302184
788.485072,408,135754788.942373,1369,13674.891225
2910.640056,1501,13844.512228
1850.739887,990,13956.535454
3142.260843,1501,14126.141221
669.278349,333,14163.955015
639.882152,426,14212.022995
-23.087022,3,14212.36246
20.165027,80,14221.442843
-22.974876.705599,1501,14360.248693
1305.224057,377,14402.782365
2351.439742,1196,14538.172885
62.197696,97,14549.130929
-24.436309,1,14549.244539
72.064542,103,14560.831965
78.203476,107,14572.998263
897.937448,495,14629.087409
28.019413,75,14637.635291
-23.48204,2,14637.874949
68.556589,102,3189.731616,154970.234825,1501,5298.502936,151753.468301,573,15288.683565,1501,15035.950977
5301.687398,1501,15205.806143
4019.734453,1501,15375.827098
4429.953965,1501,15546.384844
4692.694312,1501,15716.460261
1719.215062,638,15788.940084
67.875944,103,15800.553995
746.010576,381,15844.040139
4747.380281,1501,16014.241343
4046.458979,1160,16145.987549
1128.425876,392,16190.458262
4744.163896,1501,16360.488778
1438.66249,466,16413.232877
42.094124,84,16422.93327
-22.571247,3,16423.26629
2756.224444,933,16529.096077
37.257341,81,16538.383231
46.655331,89,16548.496782
-23.900511,3,16548.82389
36.684019,88,3532.148335,1296,16636.297566
-21.689677,3,16636.64651
4695.980142,1493,16806.53757
-23.067678,3,16806.872815
4540.970891,1436,16969.479701
-24.502255,1,16969.587324
-24.731027,1,16969.705513
36.402874,81,16978.937542
4047.538291,1391,17136.526572
-22.579544,3,17136.86467
-22.669866,3,17137.217212
-22.469806,3,17137.549545
-23.770418,2,17137.83965
3701.666725,1264,17281.194607
-24.126457,4566.934474,1501,17374.294733
800.052386,425,17422.719822
-23.325529,1,17422.836748
-24.0265423005.906129,943,12833.436879,998,17536.614684
3585.311396,1241,17677.032933
-22.99917,3,12835.260208,93049.878882,1028,17794.327967
4790.249635,1514,17966.017428
60.645055,102660.276138,811,2968.614214,990,18090.051928
1034.8741,553,18152.985474
59.932234,94,18163.593364
34.284982,86,18173.390659
-22.36384180.17318,1501,1821757.09298,1877.796315,603,18294.534675
-24.212808,1,18294.642931
-24.720855,1,18294.762995
31.785278,84,2089.53823,7932560.020477,1003,18418.180361
-23.108698,3923.10569,1503353.552549,1109,18544.669089
31.020448,76,18553.362225
-22.960688735.702738,394,18593.801673
191.855156,281,18625.918422
29.324667,74,18634.217687
-23.081965,3,18634.543916
30.527681,78,18643.412081
-24.759414,1,18643.520146
36.313421,84,18653.09821
-22.904207,1,18653.203011
-23.976098,2,18653.429111
42.653657,90,18663.693645
-22.953754,3,18664.038695
93.587698,164,18682.619121
4172.314344,1392,18840.488968
4448.986597,1501,19010.90862
2470.05695,760,19097.288539
-23.370742,3,19097.603546
185.98617,213,19121.993931
404.101662,478,19176.091598
47.355481,91,19186.450247
604.971981,500,19243.180968
444.611418,300,19277.16737
65.734285,97,19288.11481
723.043002,366,19329.735989
43.352691,93,19340.196771
53.354913,92,19350.597737
-23.329768,3,19350.948725
-17.718214,7,19351.744302
558.888357,295,19385.064812
101.279043,183,19405.782021
146.314913,200,19428.565377
67.576533,101,19439.988916
56.679913,97,19451.014498
66.275612,99,19462.24559
117.890237,178,19482.670132
56.818731,98,19493.70981
-24.378582,1,19493.814063
-24.224507,1,19493.933946
40.179069,85,19503.629163
-24.025579,2,19503.861952
1066.830125,740,19587.884646
44.741294,92,19598.427854
53.923466,95,19609.152044
22.239979,83,19618.587622
-24.341832,2,19618.808033
58.414647,97,19629.756335
31.12588,84,19639.256175
189.176094,329,19676.751002
37.55051,91,19687.161186
71.043075,108,19699.437593
-22.864806,3,19699.79816
437.868998,286,19732.1323
-22.934303,3,19732.475129
1456.582997,642,19805.108142
-1.022685,16,19806.943471
371.749468,199,19829.574848
2623.506062,970,19939.51128
130.219643,183,19960.191114
-23.005606,3,19960.538465
523.271201,393,20005.262143
68.377544,103,20016.957093
222.017253,302,20051.276855
64.859776,99,20062.533267
53.029811,97,20073.467024
665.107843,305,20107.988007
-9.485547,62,20114.983564
465.051964,340,20153.519782
40.27041,87,20163.520025
53.344413,95,20174.301589
-24.186845,3,20174.635642
-25.092912,1,20174.77453
51.443476,91,20185.140881
56.199377,95,20195.9488
63.72837,99,20207.28479
69.334578,104,20219.149405
42.877059,91,20229.502885
523.146478,413,20276.384863
-24.202898,1,20276.498125
-24.56955492.947401,405,2053.053054,97131.903044,190,20299.555701
1706.506454,933,20405.769071
49.201771,91,20416.075232
608.673734283.725407,1501,20467.981298
3144.081657,956,20576.750871
-22.755202,3,20577.091935
-25.406914,1,20577.203646
35.955498,84,20586.62293
30.160426,84,20596.136934
19.511926,72,20604.381019
536.430567,424,20652.346077
-22.625394,3,20652.677511
-24.417734,1,20652.790591
-24.021081,2,20653.008744
488.017924,359,20693.906641
69.629316,103,20705.536555
51.574991,100,20716.789607
56.666623,99,20728.034144
31.01251,85,20737.620368
68.821653,106,20749.587689
1787.542967,738,20833.137897
2.951911,28,20836.282746
79.184827,109,20848.740839
-22.44898,4,20849.217885
824.444942,485,20904.160244
2397.130261,980,21015.178035
-21.910987,3,21015.49877
-22.734023,1,21015.602706
603.37717,441,21065.682666
16.527955,73,21074.017767
3054.889362,1110,21200.284368
84.278062,163,21218.868918
-23.67828,1,21218.979733
558.497804,403,21264.655683
1415.098177,860,21362.072987
-6.908277,19,21364.243741
868.874227,493,21420.228141
106.913985,172,21439.824396
2225.430582,840,21535.283235
-23.996674,1,21535.3993
1364.937342,656,21609.76913
626.35179,495,21665.828859
47.600895,91,21676.079584
122.737173,182,21696.841911
142.680904,188,21718.183826
-23.769539,3,21718.506303
815.955163,494,21774.59876
431.868924,187,21795.848941
2165.243504,946,21903.320174
60.398894,97,21914.447414
